,AP,MagicTelescope,abalone,anneal,ar1,arrhythmia,audiology,autos,badges2,balance-scale,baseball,breast-cancer,breast-w,bupa,car,car-evaluation,cm1,cmc,colic,contact-lenses,credit-a,credit-g,cylinder-bands,dermatology,desharnais,ecoli,electricity,eucalyptus,eye,glass,heart-c,heart-h,heart-statlog,hepatitis,hypothyroid,ionosphere,iris,kr-vs-kp,kropt,labor,letter,lymph,mfeat-factors,mfeat-fourier,mfeat-karhunen,mfeat-morphological,mfeat-pixel,mfeat-zernike,mushroom,nursery,optdigits,ozone-level-8hr,page-blocks,pasture,pendigits,postoperative-patient-data,primary-tumor,satimage,segment,sick,solar-flare,sonar,soybean,spambase,splice,teachingAssistant,tic-tac-toe,vote,vowel,waveform-5000,yeast,zoo
8defbe5a09d5dcdbbc0db8850b0d2723,0.9338,0.9999,0.6608,0.8909,0.9256,0.7124,0.6726,0.6976,1.0,0.7808,0.9291,0.7133,0.9571,0.6841,0.8715,1.0,0.9888,0.9939,0.837,0.625,0.9232,0.722,0.7704,0.8415,0.7284,0.9315,0.8499,0.5856,0.5479,0.6636,0.7954,0.9966,0.7963,0.7806,0.9886,0.9088,0.98,0.9981,0.9986,0.8772,0.8342,0.7635,0.9555,0.964,0.971,0.9835,0.963,0.971,1.0,0.9693,0.898,0.9301,0.9726,0.7778,0.959,0.7111,0.3746,0.8633,0.955,0.9783,0.7778,0.9952,0.9414,0.9996,0.9991,0.7748,0.999,0.954,0.6869,0.7894,0.6078,0.8713
55795693f1461bd11c85904f0b24fd44,0.9338,0.9999,0.6519,0.9065,0.9339,0.6261,0.7522,0.6585,1.0,0.8192,0.9261,0.6888,0.9456,0.6754,0.9543,1.0,0.9888,0.9952,0.8179,0.875,0.9116,0.725,0.7352,0.9344,0.6667,0.9583,0.8602,0.5707,0.6093,0.6682,0.7888,0.9932,0.7926,0.8129,0.995,0.906,0.98,0.9994,0.9993,0.7895,0.8686,0.7973,0.9925,0.993,0.993,0.99,0.993,0.993,1.0,0.9879,0.916,0.914,0.97,0.75,0.9639,0.7111,0.3953,0.868,0.9567,0.9836,0.7937,0.9952,0.937,0.9996,0.9994,0.4305,0.999,0.9586,0.7444,0.7772,0.5654,0.8812
79bcd12372c603677cd800fc876f6e87,0.9316,0.9999,0.6459,0.8931,0.9174,0.6549,0.6814,0.6439,1.0,0.792,0.9343,0.7343,0.9485,0.687,0.9439,1.0,0.9888,0.9952,0.8397,0.7083,0.9159,0.702,0.7352,0.9235,0.642,0.9613,0.8589,0.6101,0.6117,0.6729,0.7822,0.9932,0.7926,0.7806,0.9928,0.886,0.98,0.9994,0.9993,0.7544,0.8548,0.7905,0.9925,0.993,0.993,0.99,0.993,0.993,1.0,0.9829,0.9167,0.9286,0.9717,0.7222,0.9609,0.7111,0.3982,0.8602,0.9528,0.9785,0.8063,0.9952,0.9268,0.9996,0.9994,0.4371,0.999,0.9632,0.6889,0.7812,0.5836,0.901
11e7bd04a51cebfa54ed0615a1865884,0.9402,0.9999,0.6517,0.8831,0.9256,0.6637,0.5973,0.6585,1.0,0.7808,0.9269,0.7168,0.9413,0.6754,0.8675,1.0,0.9888,0.9939,0.856,0.625,0.9145,0.727,0.7685,0.8333,0.6914,0.9315,0.8539,0.5978,0.5401,0.5748,0.802,0.9966,0.7889,0.8,0.9883,0.906,0.98,0.9981,0.9987,0.8421,0.8133,0.7162,0.948,0.9645,0.9685,0.977,0.9585,0.9605,0.9995,0.9589,0.8991,0.927,0.9709,0.2778,0.9524,0.7111,0.354,0.8607,0.9519,0.9785,0.7587,0.9952,0.8799,0.9996,0.9991,0.6291,0.999,0.954,0.6232,0.7944,0.5863,0.6238
fa68f3ea0148da945ab04f233b7d86b4,0.938,0.9999,0.6378,0.9087,0.9008,0.6504,0.7965,0.8146,1.0,0.8208,0.9142,0.6853,0.9614,0.713,0.9618,1.0,0.9888,0.9952,0.7772,0.8333,0.942,0.71,0.7352,0.9508,0.679,0.9524,0.8532,0.5707,0.626,0.6822,0.7492,0.9932,0.7704,0.7806,0.9936,0.8946,0.98,0.9994,0.9993,0.8596,0.8801,0.7838,0.9925,0.993,0.993,0.99,0.993,0.993,1.0,0.9888,0.9285,0.9215,0.9717,0.7222,0.9689,0.6111,0.3894,0.8636,0.9623,0.9814,0.7683,0.9952,0.9663,0.9996,0.9994,0.4172,0.999,0.9609,0.7576,0.7816,0.5748,0.9109
15a5433c9ff0a01f1f452986b377d916,0.938,0.9999,0.6325,0.9053,0.8843,0.6504,0.8009,0.8146,1.0,0.8176,0.9157,0.6923,0.9485,0.713,0.9595,1.0,0.9888,0.9952,0.788,0.8333,0.9232,0.694,0.7352,0.9508,0.6667,0.9524,0.8533,0.572,0.6216,0.6776,0.7492,0.9932,0.7556,0.7806,0.9936,0.8946,0.98,0.9994,0.9993,0.8421,0.8843,0.7568,0.9925,0.993,0.993,0.99,0.993,0.993,1.0,0.9907,0.9276,0.9215,0.9717,0.7222,0.9693,0.6333,0.3835,0.863,0.9623,0.9806,0.8032,0.9952,0.9663,0.9996,0.9994,0.4238,0.999,0.9609,0.7535,0.7816,0.5721,0.9109
6ddac3f39b941be9ae32f919aaa33126,0.9274,0.9999,0.6474,0.8207,0.9256,0.5996,0.3938,0.4683,1.0,0.728,0.9269,0.7098,0.9442,0.6609,0.8137,1.0,0.7753,0.9939,0.856,0.625,0.8812,0.74,0.7556,0.571,0.5679,0.878,0.8552,0.5448,0.5555,0.5187,0.769,0.9966,0.763,0.7935,0.9889,0.906,0.98,0.9981,0.9978,0.6491,0.7676,0.6824,0.939,0.9495,0.9535,0.9755,0.9455,0.955,0.998,0.9404,0.873,0.9294,0.9653,0.2778,0.9403,0.7111,0.2478,0.8509,0.9251,0.9769,0.7778,0.9952,0.593,0.9996,0.9991,0.3709,0.999,0.9517,0.4859,0.7954,0.5741,0.4059
1168c9bfde0a8c61b18d36d1feaf8f43,0.9316,0.9999,0.6457,0.8864,0.9174,0.6726,0.6814,0.6244,1.0,0.8,0.9351,0.7273,0.9485,0.6841,0.9468,1.0,0.9888,0.9952,0.8342,0.7083,0.9188,0.713,0.7352,0.9235,0.642,0.9613,0.8601,0.5924,0.6062,0.6682,0.7954,0.9932,0.7926,0.7806,0.9928,0.8832,0.98,0.9994,0.9993,0.7368,0.854,0.7703,0.9925,0.993,0.993,0.99,0.993,0.993,1.0,0.9842,0.9178,0.9278,0.9722,0.7222,0.9608,0.7111,0.4071,0.8663,0.9532,0.9785,0.8159,0.9952,0.9239,0.9996,0.9994,0.457,0.999,0.9632,0.6838,0.779,0.5809,0.901
d17dc3dc4024bc64a11e433a5bd34de4,,0.9999,0.6569,0.8964,0.9256,0.6814,0.5708,0.6732,1.0,0.784,0.9306,0.7133,0.9499,0.687,0.8652,1.0,0.9888,0.9939,0.856,0.625,0.9261,0.722,0.7648,0.8388,0.6543,0.9256,,0.6019,0.5544,0.6028,0.8152,0.9966,0.7778,0.8,0.9894,0.9088,0.98,0.9984,0.9988,0.8421,0.8252,0.7095,0.951,0.974,0.962,0.98,0.963,0.9645,0.9995,0.9621,0.8996,0.9227,0.9695,0.2778,0.9565,0.7111,0.3805,0.858,0.9532,0.9793,0.7778,0.9952,0.8917,0.9996,0.9991,0.6424,0.999,0.954,0.6404,0.8026,0.593,0.6238
ce241685d443a617c3abcbf257bf94bf,0.9209,0.9999,0.6608,0.8942,0.9008,0.7035,0.7301,0.6976,1.0,0.7952,0.9306,0.7133,0.9557,0.7043,0.8796,1.0,0.9888,0.9946,0.8533,0.7083,0.9203,0.722,0.7907,0.877,0.7531,0.9464,0.8499,0.5897,0.5479,0.6963,0.7987,0.9966,0.7815,0.8065,0.9897,0.8974,0.98,0.9981,0.9986,0.807,0.8342,0.7635,0.956,0.972,0.966,0.9835,0.9625,0.97,1.0,0.9681,0.9073,0.929,0.9715,0.7778,0.9595,0.7,0.3717,0.856,0.9524,0.9785,0.7714,0.9952,0.9356,0.9996,0.9991,0.8411,0.999,0.9517,0.6848,0.7894,0.6132,0.8713
